Name                  Type               Forward_MACs    FPercent    Memory       MPercent    Params     PPercent    InShape       OutShape
Conv_58               Conv               752,640         0.24%       617,472      0.52%       3,840      0.11%       1x384x14x14   1x384x14x14
Clip_59               Clip               150,528         0.05%       602,120      0.51%       2          0.00%       1x384x14x14   1x384x14x14
Conv_60               Conv               7,244,160       2.26%       298,368      0.25%       36,960     1.06%       1x384x14x14   1x96x14x14
Conv_61               Conv               10,950,912      3.42%       1,126,656    0.95%       55,872     1.60%       1x96x14x14    1x576x14x14
Clip_62               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x576x14x14   1x576x14x14
Conv_63               Conv               1,128,960       0.35%       926,208      0.79%       5,760      0.17%       1x576x14x14   1x576x14x14
Clip_64               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x576x14x14   1x576x14x14
Conv_65               Conv               10,856,832      3.39%       372,096      0.32%       55,392     1.59%       1x576x14x14   1x96x14x14
Add_66                Add                18,816          0.01%       150,528      0.13%       0          0.00%       1x96x14x14    1x96x14x14
Conv_67               Conv               10,950,912      3.42%       1,126,656    0.95%       55,872     1.60%       1x96x14x14    1x576x14x14
Clip_68               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x576x14x14   1x576x14x14
Conv_69               Conv               1,128,960       0.35%       926,208      0.79%       5,760      0.17%       1x576x14x14   1x576x14x14
Clip_70               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x576x14x14   1x576x14x14
Conv_71               Conv               10,856,832      3.39%       372,096      0.32%       55,392     1.59%       1x576x14x14   1x96x14x14
Add_72                Add                18,816          0.01%       150,528      0.13%       0          0.00%       1x96x14x14    1x96x14x14
Conv_73               Conv               10,950,912      3.42%       1,126,656    0.95%       55,872     1.60%       1x96x14x14    1x576x14x14
Clip_74               Clip               225,792         0.07%       903,176      0.77%       2          0.00%       1x576x14x14   1x576x14x14
Conv_75               Conv               282,240         0.09%       248,832      0.21%       5,760      0.17%       1x576x14x14   1x576x7x7
Clip_76               Clip               56,448          0.02%       225,800      0.19%       2          0.00%       1x576x7x7     1x576x7x7
Conv_77               Conv               4,523,680       1.41%       432,000      0.37%       92,320     2.65%       1x576x7x7     1x160x7x7
Conv_78               Conv               7,573,440       2.37%       994,560      0.84%       154,560    4.43%       1x160x7x7     1x960x7x7
Clip_79               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_80               Conv               470,400         0.15%       414,720      0.35%       9,600      0.28%       1x960x7x7     1x960x7x7
Clip_81               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_82               Conv               7,534,240       2.35%       677,760      0.57%       153,760    4.41%       1x960x7x7     1x160x7x7
Add_83                Add                7,840           0.00%       62,720       0.05%       0          0.00%       1x160x7x7     1x160x7x7
Conv_84               Conv               7,573,440       2.37%       994,560      0.84%       154,560    4.43%       1x160x7x7     1x960x7x7
Clip_85               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_86               Conv               470,400         0.15%       414,720      0.35%       9,600      0.28%       1x960x7x7     1x960x7x7
Clip_87               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_88               Conv               7,534,240       2.35%       677,760      0.57%       153,760    4.41%       1x960x7x7     1x160x7x7
Add_89                Add                7,840           0.00%       62,720       0.05%       0          0.00%       1x160x7x7     1x160x7x7
Conv_90               Conv               7,573,440       2.37%       994,560      0.84%       154,560    4.43%       1x160x7x7     1x960x7x7
Clip_91               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_92               Conv               470,400         0.15%       414,720      0.35%       9,600      0.28%       1x960x7x7     1x960x7x7
Clip_93               Clip               94,080          0.03%       376,328      0.32%       2          0.00%       1x960x7x7     1x960x7x7
Conv_94               Conv               15,068,480      4.71%       1,355,520    1.15%       307,520    8.82%       1x960x7x7     1x320x7x7
Conv_95               Conv               20,133,120      6.29%       2,145,280    1.82%       410,880    11.78%      1x320x7x7     1x1280x7x7
Clip_96               Clip               125,440         0.04%       501,768      0.43%       2          0.00%       1x1280x7x7    1x1280x7x7
GlobalAveragePool_97  GlobalAveragePool  67,840          0.02%       10,240       0.01%       0          0.00%       1x1280x7x7    1x1280x1x1
Gemm_104              Gemm               1,281,000       0.40%       5,132,000    4.35%       1,281,000  36.73%      1x1280        1x1000
Total                 _                  319,949,192     100%        117,982,392  100%        3,487,887  100%        _             _
