Name                    Type                Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape        OutShape
Conv_76                 Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x28x28    1x116x14x14
Relu_72                 Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
BatchNormalization_77   BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_78                 Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_79   BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_80                 Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_84            Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_87                Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_88                 Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_89   BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_90                 Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_91                 Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_92   BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_93                 Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_94   BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_95                 Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_99            Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_102               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_103                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_104  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_105                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_106                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_107  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_108                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_109  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_110                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_114           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_117               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_118                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_119  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_120                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_121                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_122  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_123                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_124  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_125                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_129           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_132               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_133                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_134  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_135                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_136                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_137  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_138                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_139  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_140                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_144           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_147               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_148                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_149  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_150                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_151                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_152  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_153                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_154  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_155                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_159           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_162               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_163                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_164  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_165                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_166                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_167  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_168                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_169  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_170                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_174           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Split_177               Split               0               0.00%       363,776     0.43%       0          0.00%       1x232x14x14    1x116x14x14
Conv_178                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_179  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_180                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Conv_181                Conv                204,624         0.10%       186,064     0.22%       1,044      0.05%       1x116x14x14    1x116x14x14
BatchNormalization_182  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Conv_183                Conv                2,637,376       1.27%       235,712     0.28%       13,456     0.59%       1x116x14x14    1x116x14x14
BatchNormalization_184  BatchNormalization  704,816         0.34%       183,744     0.22%       464        0.02%       1x116x14x14    1x116x14x14
Relu_185                Relu                22,736          0.01%       181,888     0.22%       0          0.00%       1x116x14x14    1x116x14x14
Transpose_189           Transpose           0               0.00%       363,776     0.43%       0          0.00%       1x2x116x14x14  1x116x2x14x14
Conv_192                Conv                102,312         0.05%       99,296      0.12%       2,088      0.09%       1x232x14x14    1x232x7x7
Conv_197                Conv                10,549,504      5.08%       579,072     0.69%       53,824     2.35%       1x232x14x14    1x232x14x14
BatchNormalization_193  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
BatchNormalization_198  BatchNormalization  1,409,632       0.68%       367,488     0.44%       928        0.04%       1x232x14x14    1x232x14x14
Conv_194                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
Relu_199                Relu                45,472          0.02%       363,776     0.43%       0          0.00%       1x232x14x14    1x232x14x14
BatchNormalization_195  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Conv_200                Conv                102,312         0.05%       99,296      0.12%       2,088      0.09%       1x232x14x14    1x232x7x7
Relu_196                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
BatchNormalization_201  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Conv_202                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_203  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_204                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Transpose_208           Transpose           0               0.00%       181,888     0.22%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_211               Split               0               0.00%       181,888     0.22%       0          0.00%       1x464x7x7      1x232x7x7
Conv_212                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_213  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_214                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Conv_215                Conv                102,312         0.05%       99,296      0.12%       2,088      0.09%       1x232x7x7      1x232x7x7
BatchNormalization_216  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Conv_217                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_218  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_219                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
