Name             Type       Forward_MACs    FPercent    Memory    MPercent    Params    PPercent    InShape     OutShape
---------------  ---------  --------------  ----------  --------  ----------  --------  ----------  ----------  ----------
/conv1/Conv      FusedConv  357,504         53.77%      20,640    7.29%       456       0.74%       1x3x32x32   1x6x28x28
/pool/MaxPool    MaxPool    4,704           0.71%       4,704     1.66%       0         0.00%       1x6x28x28   1x6x14x14
/conv2/Conv      FusedConv  241,600         36.34%      16,064    5.67%       2,416     3.90%       1x6x14x14   1x16x10x10
/pool_1/MaxPool  MaxPool    1,600           0.24%       1,600     0.56%       0         0.00%       1x16x10x10  1x16x5x5
/fc1/Gemm        FusedGemm  48,400          7.28%       194,080   68.52%      48,120    77.61%      1x400       1x400
/fc2/Gemm        FusedGemm  10,200          1.53%       41,136    14.52%      10,164    16.39%      1x400       1x120
/fc3/Gemm        Gemm       850             0.13%       3,440     1.21%       850       1.37%       1x120       1x10
Total            _          664,858         100%        283,264   100%        62,006    100%        _           _
